K	Fitness	Objective	Algorithm	Base	Cluster	AlgorithmParameters	Time(s)
9	0.247778	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 1, 1, 1, 1, 2, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 5, 5, 5, 6, 4, 5, 5, 7, 5, 8]	CRO dimension(100) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.07100
9	0.219703	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 4, 5, 5, 6, 5, 5, 7, 5, 8, 5]	CRO dimension(100) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.06700
9	0.264387	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 2, 3, 4, 1, 1, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 7, 6, 6, 7, 6, 6, 8, 0]	CRO dimension(100) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.06200
9	Infinity	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   0.00100
10	0.765062	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 0, 0, 2, 3, 4, 5, 6, 7, 2, 3, 7, 0, 7, 8, 4, 7, 1, 9, 7, 5, 6, 9, 6, 4, 7, 3, 1, 9, 3, 9]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.06100
10	0.481501	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 1, 2, 3, 4, 5, 6, 1, 5, 7, 7, 6, 7, 7, 7, 7, 7, 2, 7, 7, 0, 8, 8, 9, 4, 4, 4, 4, 4, 4, 3, 4]	AG Crossover(0.900000) Mutation(0.100000)	   0.01500
10	0.361570	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 1, 0, 2, 3, 4, 5, 6, 7, 8, 8, 8, 8, 6, 3, 8, 8, 1, 8, 4, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]	BCO TurnsMaxNotImproved(10)	   0.12200
10	0.285767	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 1, 1, 2, 3, 1, 1, 1, 4, 4, 4, 5, 4, 4, 4, 4, 6, 7, 8, 4, 4, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]	CRO dimension(100) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.06000
10	Infinity	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]	CRO dimension(100) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.00300
10	0.314159	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 2, 2, 2, 2, 2, 3, 4, 5, 5, 6, 6, 5, 7, 5, 5, 5, 5, 5, 5, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]	CRO dimension(100) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.07100
