K	Fitness	Objective	Algorithm	Base	Cluster	AlgorithmParameters	Time(s)
6	0.420658	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 0, 0, 2, 0, 3, 0, 0, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 0, 3, 0, 0, 1, 2, 1, 5, 0, 1]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.04700
6	0.100708	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 3, 3, 3, 3, 5]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   0.37500
6	0.735398	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 2, 3, 3, 3, 3, 0, 4, 0, 2, 5, 2, 3, 5, 5, 2, 4, 2, 4, 0, 2, 5, 5, 5, 5, 5, 5, 1, 5, 5, 3]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.21900
6	0.085878	CorrectRand	GeneticAlgorithm	Lung_Cancer	[0, 1, 1, 1, 1, 2, 1, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	AG Crossover(0.900000) Mutation(0.100000)	   0.35900
6	0.357462	CorrectRand	BeeColonyOptimization	Lung_Cancer	[0, 1, 2, 1, 1, 3, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 0, 5, 0, 0, 0, 0, 0, 2, 3]	BCO TurnsMaxNotImproved(5)	   3.53200
6	0.280628	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 5, 0, 4, 4, 4, 3, 5, 5, 1]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.050000) StepsUntilDepredation(1)	   0.09300
6	0.220353	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 0, 0, 0, 0, 1, 0, 0, 2, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 1]	CRO dimension(25) InsertRand(true) InsertRank(false) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.03200
6	0.214326	CorrectRand	CoralReefOptimization	Lung_Cancer	[0, 1, 2, 0, 0, 3, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1]	CRO dimension(25) InsertRand(false) InsertRank(true) Rho(0.900000) Fa-repication(0.500000) Fb-broadcast(0.800000) Fd-depredation(0.100000) StepsUntilDepredation(5)	   0.09400
6	0.100708	CorrectRand	ParticleSwarmOptimization	Lung_Cancer	[0, 1, 0, 0, 0, 0, 0, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]	PSO P-OwnWay(0.950000) P-PreviousPosition(0.050000) P-BestPosition(0.000000)	   0.53100
7	0.750971	CorrectRand	AntColonyOptimization	Lung_Cancer	[0, 1, 0, 0, 1, 2, 3, 0, 1, 4, 3, 4, 3, 3, 2, 4, 4, 2, 4, 5, 4, 2, 4, 6, 0, 6, 3, 6, 1, 1, 1, 6]	ACO MST(false) AFN(true) Alpha(0.500000) Beta(0.500000) Ro(0.200000)	   0.40600
